team,average_opponent_strength,median_opponent_strength
Argentina,0.7177161862527716,0.761219512195122
Spain,0.7763858093126385,0.8051219512195121
Brazil,0.7997560975609755,0.8578048780487805
France,0.8043237250554324,0.8095121951219512
Netherlands,0.8062195121951219,0.8248780487804878
England,0.7867627494456763,0.8402439024390244
Colombia,0.7763414634146341,0.7304878048780488
Germany,0.7233536585365854,0.7458536585365854
Italy,0.6679268292682926,0.6756097560975609
Portugal,0.816341463414634,0.8621951219512195
Belgium,0.8156585365853658,0.8314634146341463
Switzerland,0.7980975609756098,0.8007317073170731
Croatia,0.8479268292682927,0.9082926829268292
Denmark,0.7732926829268293,0.7809756097560976
Morocco,0.7440576496674057,0.8578048780487805
Poland,0.7787804878048781,0.7787804878048781
United States,0.838780487804878,0.8446341463414634
Ecuador,0.7244512195121952,0.7809756097560976
Scotland,0.6928571428571428,0.7260975609756097
Uruguay,0.7752682926829269,0.77
Mexico,0.81470066518847,0.8270731707317073
Norway,0.8362926829268291,0.8951219512195121
Austria,0.7900696864111498,0.77
Hungary,0.6997560975609756,0.7239024390243902
Turkey,0.7637282229965157,0.783170731707317
Japan,0.8546689895470383,0.8709756097560976
Ukraine,0.8336585365853659,0.8468292682926829
Czech Republic,0.7449128919860628,0.7392682926829268
South Korea,0.6614982578397213,0.6997560975609756
Venezuela,0.598780487804878,0.598780487804878
Canada,0.7431707317073171,0.7348780487804878
Greece,0.8413414634146341,0.8292682926829268
Sweden,0.8545121951219512,0.8490243902439024
Serbia,0.7601219512195122,0.7436585365853658
Senegal,0.7524390243902439,0.8007317073170732
Slovenia,0.7096341463414633,0.7326829268292683
Paraguay,0.8001829268292682,0.8621951219512195
Wales,0.6756097560975609,0.6756097560975609
Australia,0.7595731707317073,0.8182926829268292
Georgia,0.5713414634146341,0.5614634146341463
Slovakia,0.6251219512195122,0.6492682926829267
Algeria,0.8018292682926829,0.86
Iceland,0.7796585365853659,0.8402439024390244
Egypt,0.8182926829268293,0.8446341463414633
Iran,0.701637630662021,0.7041463414634146
Israel,0.7634146341463415,0.7634146341463415
Albania,0.7447560975609756,0.7941463414634147
Peru,0.693170731707317,0.6997560975609756
Republic of Ireland,0.6470731707317073,0.6953658536585365
Tunisia,0.7982229965156794,0.8402439024390244
DR Congo,0.7293902439024389,0.8029268292682927
Bolivia,0.5917560975609757,0.5241463414634147
Nigeria,0.7085365853658537,0.6997560975609756
Panama,0.7211585365853659,0.6778048780487804
Chile,0.7217073170731707,0.684390243902439
Cameroon,0.5790243902439024,0.5790243902439024
Mali,0.7568292682926829,0.7568292682926829
Ivory Coast,0.80198606271777,0.8709756097560976
North Macedonia,0.7908536585365854,0.7919512195121952
Romania,0.7963414634146342,0.7831707317073171
Bosnia and Herzegovina,0.7930487804878048,0.8029268292682926
Kosovo,0.7041463414634146,0.8029268292682927
Uzbekistan,0.8264459930313589,0.8226829268292682
South Africa,0.7140243902439025,0.7678048780487805
Northern Ireland,0.8128048780487803,0.8512195121951218
Ghana,0.8610975609756097,0.8797560975609755
Burkina Faso,0.4539024390243902,0.4012195121951219
Finland,0.7535365853658537,0.7436585365853658
Gabon,0.5131707317073171,0.5131707317073171
Jordan,0.8220557491289198,0.8534146341463414
New Zealand,0.7348780487804877,0.7568292682926829
Costa Rica,0.8128048780487804,0.8402439024390244
Qatar,0.7015121951219512,0.7392682926829268
Saudi Arabia,0.7282926829268292,0.8029268292682926
Bulgaria,0.4209756097560975,0.4560975609756097
Montenegro,0.639390243902439,0.697560975609756
Guinea,0.5914634146341463,0.5768292682926829
Cape Verde,0.7184146341463413,0.7590243902439024
Jamaica,0.5109756097560976,0.6690243902439024
Honduras,0.8468292682926829,0.8468292682926829
Comoros,0.5358536585365854,0.5373170731707317
Estonia,0.4385365853658536,0.4407317073170731
Zambia,0.95,0.95
Benin,0.5120731707317072,0.5153658536585366
Azerbaijan,0.3540243902439024,0.4099999999999999
Armenia,0.53,0.5373170731707317
Belarus,0.5362195121951219,0.521951219512195
Oman,0.418780487804878,0.418780487804878
Namibia,0.5636585365853659,0.5636585365853659
Gambia,0.7787804878048781,0.7787804878048781
Guatemala,0.825609756097561,0.8314634146341463
Kazakhstan,0.639390243902439,0.5790243902439024
Togo,0.5186585365853658,0.5373170731707316
Angola,0.4363414634146341,0.4363414634146341
Iraq,0.7794076655052263,0.8226829268292682
Equatorial Guinea,0.4568292682926829,0.4363414634146341
Palestine,0.3441463414634146,0.3441463414634146
Malta,0.6734146341463414,0.6734146341463414
Luxembourg,0.8314634146341463,0.8314634146341463
Faroe Islands,0.4641463414634146,0.4670731707317073
Niger,0.5142682926829268,0.5087804878048781
Moldova,0.5186585365853658,0.521951219512195
Mozambique,0.418780487804878,0.418780487804878
Mauritania,0.6587804878048781,0.5285365853658537
Sierra Leone,0.4612195121951219,0.40560975609756095
Cyprus,0.5241463414634147,0.5263414634146341
Kenya,0.39829268292682923,0.34853658536585364
Latvia,0.4560975609756097,0.4560975609756097
Libya,0.4517073170731707,0.4517073170731707
Botswana,0.4341463414634146,0.4341463414634146
Zimbabwe,0.47878048780487803,0.45829268292682923
Tanzania,0.2475609756097561,0.2475609756097561
Syria,0.5592682926829268,0.5592682926829268
Suriname,0.7260975609756097,0.7260975609756097
Madagascar,0.5841463414634146,0.5197560975609756
Bahrain,0.7787804878048781,0.7787804878048781
Haiti,0.797595818815331,0.765609756097561
Indonesia,0.43853658536585366,0.5219512195121951
Malawi,0.4056097560975609,0.3792682926829268
Lithuania,0.5812195121951219,0.5395121951219511
Liberia,0.5,0.4802439024390243
Guinea-Bissau,0.6558536585365854,0.6558536585365854
Central African Republic,0.5307317073170732,0.5307317073170732
Martinique,0.324390243902439,0.324390243902439
Ethiopia,0.414390243902439,0.414390243902439
China,0.3660975609756097,0.2980487804878048
Rwanda,0.42317073170731706,0.42317073170731706
Andorra,0.48200000000000004,0.5241463414634147
El Salvador,0.5395121951219511,0.5065853658536585
Trinidad and Tobago,0.7557317073170732,0.774390243902439
Lesotho,0.4714634146341463,0.4714634146341463
Kyrgyzstan,0.49670731707317073,0.5153658536585366
San Marino,0.4099999999999999,0.4341463414634146
Nicaragua,0.7304878048780488,0.7304878048780488
Curaçao,0.6640069686411151,0.783170731707317
Kuwait,0.2695121951219512,0.2695121951219512
Dominican Republic,0.45536585365853655,0.36170731707317066
Tajikistan,0.25634146341463415,0.25634146341463415
Gibraltar,0.14439024390243904,0.14439024390243904
Burundi,0.8885365853658537,0.8885365853658537
Cuba,0.35073170731707315,0.35073170731707315
Vietnam,0.19926829268292684,0.19926829268292684
Thailand,0.34853658536585364,0.34853658536585364
Grenada,0.5270731707317072,0.4714634146341463
India,0.4209756097560975,0.3836585365853658
Hong Kong,0.17292682926829267,0.17292682926829267
Liechtenstein,0.3540243902439024,0.4078048780487804
Afghanistan,0.1919512195121951,0.22121951219512193
Pakistan,0.20658536585365853,0.24317073170731707
Saint Vincent and the Grenadines,0.1224390243902439,0.1224390243902439
Guyana,0.12463414634146341,0.12463414634146341
Bangladesh,0.3090243902439024,0.3090243902439024
British Virgin Islands,0.15426829268292683,0.11804878048780487
Bermuda,0.6690243902439024,0.6690243902439024
Saint Martin,0.1224390243902439,0.1224390243902439
New Caledonia,0.603170731707317,0.603170731707317
Cambodia,0.15536585365853658,0.15536585365853658
Puerto Rico,0.3441463414634146,0.3441463414634146
Singapore,0.37487804878048775,0.37487804878048775
Solomon Islands,0.3551219512195122,0.3551219512195122
Myanmar,0.09829268292682927,0.09829268292682927
Bonaire,0.1992682926829268,0.1948780487804878
Vanuatu,0.11585365853658536,0.11585365853658536
Maldives,0.2321951219512195,0.2321951219512195
Belize,0.1421951219512195,0.1421951219512195
Aruba,0.2870731707317073,0.2870731707317073
Dominica,0.1421951219512195,0.1421951219512195
Fiji,0.1378048780487805,0.1378048780487805
Bahamas,0.0873170731707317,0.0873170731707317
Barbados,0.20146341463414633,0.20146341463414633
Philippines,0.14658536585365853,0.14658536585365853
Cayman Islands,0.2021951219512195,0.1948780487804878
Saint Kitts and Nevis,0.2870731707317073,0.2870731707317073
Saint Lucia,0.5724390243902439,0.5724390243902439
Anguilla,0.15317073170731707,0.15317073170731707
Sint Maarten,0.12463414634146341,0.12463414634146341
United States Virgin Islands,0.1641463414634146,0.1641463414634146
Bhutan,0.17292682926829267,0.17292682926829267
